title,category,status,tags,prompt,negative_prompt,preview_image,attribution,attribution_link
Keep-inspired Chinese workout course website,Web Development,draft,language-zh;raycast-friendly;web-development;animation;ui-design,"Build a Chinese “workout course” webpage inspired by {argument name=""reference_brand_en"" default=""Keep""}: include a full-screen athlete hero image, transparent sticky navigation, Chinese capsule-tag categories, and a grid of Chinese course cards. Each course card corresponds to a training program; use the course styles of creators such as {argument name=""instructor_examples_en"" default=""Pamela, Zhou Liuye, Han Xiaosi, Jojie, Liu Genghong""} as references to design Chinese titles and labels for difficulty and duration. When clicking a card, open a course preview video player within the page that strictly matches the card information. Overall, keep the design minimal yet detailed, using smooth scrolling and hover animations, soft gradients, and refined typography to create a high-end Chinese experience. Use Tailwind CSS to implement a fully responsive layout.",,https://cms-assets.youmind.com/media/1764209217106_6fmlu1_3SnhTqXry41EUPsg.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427408323572067
Keep-style Chinese fitness page (single HTML),UI/UX Design,draft,language-en;ui-design;svg,"Build a Keep-style Chinese fitness page with a clean, modern UI, an interactive SVG body (front/back views, where clicking a muscle highlights it), Chinese filters (gender/level/equipment), and exercise cards. Deliver it as a single HTML file using Tailwind + JavaScript.",,https://cms-assets.youmind.com/media/1764209210820_oxsdtd_JD0qwSM30jXTVCtO.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427402757730387
Neo-Brutalist website design prompt,Web Development,draft,language-en;web-development;animation;ui-design,"Create a neo-Brutalist website that pushes the boundaries of creativity. Include smooth scrolling animations, vibrant colors, and Tailwind ES styles, and make it fully responsive.",,https://cms-assets.youmind.com/media/1764209207369_aa3rub_Com2rFXK131nN-WJ.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427399884624333
Retro Polaroid camera website with photo wall,Web Development,draft,language-zh;web-development,"Please develop a web camera application with a retro Polaroid atmosphere. Place a Polaroid camera model in the lower-left corner of the page that can call the user’s webcam and show a real-time preview. After clicking the shutter, a piece of “photo paper” slowly comes out from the top of the camera, and the photo develops from initially blurry to clear. Users can drag the fully developed photo from above the camera to any position on the page, creating a free layout similar to a “photo collage wall.”",,https://cms-assets.youmind.com/media/1764209203730_z4nncu_80rs2O9LInawTSTj.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427396625383621
Dream journaling tarot-style web app,3D Graphics,draft,language-zh,"Generate a Chinese web application where users record their dreams every morning. The app provides a large number of “illustration stickers” to collage and reconstruct the dream scenes, and finally generates a dream card that looks like a tarot card.",,https://cms-assets.youmind.com/media/1764209238976_et7ieq_7pJ4fC5sdbhGHT7S.jpg,松果先森,https://x.com/songguoxiansen/status/1991424776473317412
3D brick builder app with Gemini and React,3D Graphics,draft,language-en;raycast-friendly;3d;ui-design;react,"Act as a world-class frontend engineer and UX designer. Build a {argument name=""application_name_en"" default=""3D Brick Builder Application""} using React, Three.js (@react-three/fiber), Tailwind CSS, and the Google Gemini API (@google/genai).

## Design philosophy
- **Theme**: {argument name=""theme_en"" default=""White Base""} modern aesthetics.",,https://cms-assets.youmind.com/media/1764209267012_gx9du5_eHxLjy9ur6Zi0Prr.jpg,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信⚡️》,https://x.com/masahirochaen/status/1991414295398346786
X (Twitter) MBTI analyzer web app,UI/UX Design,draft,language-zh;ui-design,"Create an X MBTI analyzer: the user pastes a tweet → the frontend calls a backend (which uses the Gemini API to infer the MBTI type).
Design style should follow Linear, dark mode only, with a minimalist yet high-quality feel and refined details. The interface should be in Chinese.",,https://cms-assets.youmind.com/media/1764209223074_p70pfd_LqvLh0zCSYOy3-VE.jpg,katon,https://x.com/hellokaton/status/1991413950098075659
AI Hanfu wardrobe virtual try-on app,3D Graphics,draft,language-zh;raycast-friendly;3d,"Generate a Chinese-language AI Hanfu wardrobe application. Use AI face-swapping or 3D body-shape technology. Users upload a photo and can, with one click, ""try on"" Hanfu from various dynasties ({argument name=""dynasty_1_en"" default=""Tang""}, {argument name=""dynasty_2_en"" default=""Song""}, {argument name=""dynasty_3_en"" default=""Ming""}), or customize hairpins and makeup themselves.",,https://cms-assets.youmind.com/media/1764209249948_o2ejtv_bEBJ9Q-sEm-FuO9_.jpg,松果先森,https://x.com/songguoxiansen/status/1991408418658349419
Retro Motorola Fix Beeper typewriter web app,Web Application,draft,language-zh;raycast-friendly,"Please help me create a retro typewriter web application themed around {argument name=""device_name_en"" default=""Motorola Fix Beeper""}. In the center of the page, display a typewriter that can take text entered by the user and generate it as a card, with an effect similar to the slow typing of a typewriter, and allow the card to be dragged to empty areas.",,https://cms-assets.youmind.com/media/1764209243747_6zn4ng_st6US49_VK2ldIvf.jpg,被减数,https://x.com/Lessnoise365/status/1991391000833716683
Chinese web app for Greek mythology constellations,Web Application,draft,language-zh;raycast-friendly,"Generate a {argument name=""language_en"" default=""Chinese""} web application that tells the Greek mythological stories of each star or constellation in the form of a picture book. It should not only show the constellation connection lines but also display illustrations of the mythological characters.",,https://cms-assets.youmind.com/media/1764209254334_uu21fi_fDJNuJlmTIVYVYvr.jpg,松果先森,https://x.com/songguoxiansen/status/1991329649419530336
Cyber-style modern Chinese almanac web app,UI/UX Design,draft,language-zh;raycast-friendly;ui-design,"Generate a cyber-style Chinese web application for a modern daily almanac aimed at young people. Instead of traditional items like “suitable for marriage,” it should reflect modern life scenarios. For example: “Today do: {argument name=""today_do_example_1_en"" default=""slack off at work""}, {argument name=""today_do_example_2_en"" default=""drink milk tea""}, {argument name=""today_do_example_3_en"" default=""confess your feelings""}; Today avoid: {argument name=""today_avoid_example_1_en"" default=""meetings""}, {argument name=""today_avoid_example_2_en"" default=""staying up all night""}, {argument name=""today_avoid_example_3_en"" default=""making big resolutions""}.”",,https://cms-assets.youmind.com/media/1764209237338_qmtoz8_2y43kqiU39gDRcwd.jpg,松果先森,https://x.com/songguoxiansen/status/1991315808338014231
Retro Polaroid-style camera web app,Media,draft,language-zh,"Please help me create a retro Polaroid-style camera web application. In the lower-left corner of the page, display a camera that can connect to the webcam and show a real-time preview. When the shutter button is clicked, a photo paper slowly pops out from the top of the camera, and the photo develops from blurry to clear. Users can drag the developed photo from above the camera to areas of the page outside the camera, creating a photo-wall-like effect.",,https://cms-assets.youmind.com/media/1764209224660_q703c0_3hoHx30nVZ5b8yyw.jpg,饼干哥哥AGI（2.0）,https://x.com/bggg_ai/status/1991310988201849346
Maximalist digital hot dog startup website,Web Development,draft,language-en;raycast-friendly;web-development;animation;ui-design;react,"Design a maximalist website for a fictional startup that sells {argument name=""product_en"" default=""digital hot dogs""}. I want beautifully animated hero text with shaders that react to mouse hover, with lots of dithering and wavy, groovy gradients.",,https://cms-assets.youmind.com/media/1764255462517_0xbgr4_8CEmdG0IihE4XzEk.jpg,ben,https://x.com/benhylak/status/1991225744194691289
Raymarched Mandelbulb fractal with audio-reactive particles in Three.js,3D Graphics,draft,language-en;raycast-friendly;3d;react,"Create a raymarching Mandelbulb fractal in GLSL, surround it with {argument name=""particle_count_en"" default=""12,000""} instanced particles, make it audio-reactive to my microphone, and add Unreal Bloom.",,https://cms-assets.youmind.com/media/1764209159016_6yk3yw_TCUAUpzJbxn8xmOV.jpg,SRKDAN,https://x.com/SRKDAN/status/1991210377179234355
Agency-style website for a client called AP,Web Development,draft,language-en;raycast-friendly;web-development;ui-design,"You are the studio {argument name=""studio_name_en"" default=""makemepulse""}. Build me a website for {argument name=""client_name_en"" default=""AP""}. Think carefully and make no mistakes.",,https://cms-assets.youmind.com/media/1764209176859_vznbt0_UPKTu2bYW7AZTCBs.jpg,arda,https://x.com/ardadoteth/status/1991203658269090295
Laser eye effect web demo with Mediapipe and Three.js,3D Graphics,draft,language-en;3d,"Use the computer's front-facing camera.
Use the `mediapipe` library to capture facial landmarks.
Use `threejs` to apply a LASER EYE effect to the face captured by the camera, based on the real-time 3D landmark information provided by `mediapipe`.",,https://cms-assets.youmind.com/media/1764255461636_mdlo2t_TrOA856i8yUthOuI.jpg,愚瞳 | winterx,https://x.com/fangyex/status/1991186281704173931
Three.js survival-mode replica of Minecraft,3D Graphics,draft,language-en;raycast-friendly;3d;ui-design;game,"Design a full survival-mode replica of {argument name=""game_name_en"" default=""Minecraft""} using {argument name=""tech_stack_en"" default=""Three.js""}.",,https://cms-assets.youmind.com/media/1764255475793_hdfpvg_nCOFPLDKO3ls9qTb.jpg,Vardhan Agnihotri,https://x.com/agno_three/status/1991176488289223136
Enterprise landing page with interactive responsive design,Web Development,draft,language-en;raycast-friendly;web-development;animation;ui-design,"Generate an enterprise-grade professional landing page for {argument name=""business_description_en"" default=""[DESCRIBE YOUR BUSINESS]""}.

Add interactive elements, animations, and make it fully responsive.

Surprise me, be creative, and do this step by step.",,https://cms-assets.youmind.com/media/1764255470380_e6ucvk_ubnvLR01M37lxkrV.jpg,God of Prompt,https://x.com/godofprompt/status/1991146150859039013
Chinese traditional colors daily web app,Web Application,draft,language-zh;raycast-friendly,"Generate a web application that introduces one {argument name=""color_system_en"" default=""traditional Chinese color""} each day (for example: {argument name=""example_color_1_en"" default=""Sky Blue (Tianqing)""}, {argument name=""example_color_2_en"" default=""Crimson (Yanzhi)""}, {argument name=""example_color_3_en"" default=""Dark Green (Dailuo)""}), accompanied by related classical poetry, artifact illustrations, or natural landscapes.",,https://cms-assets.youmind.com/media/1764209241902_949ick_ne0FJRQI-oGbGgfq.jpg,松果先森,https://x.com/songguoxiansen/status/1991137382876541379
Web-based Word-like rich text editor in one HTML file,UI/UX Design,draft,language-zh;raycast-friendly,"Help me write a web-based rich text editor similar to {argument name=""reference_software_en"" default=""Word""}, including its main features, with all code contained in a single HTML file. It should support: headings, paragraphs, left alignment, bold, italic, right alignment, underline, strikethrough, background color, text color, numbering, undo, and finally a download function. Directly generate the HTML, and that’s it!",,https://cms-assets.youmind.com/media/1764209173944_kwdxz8_lQts3X1jzvL5Lb7g.jpg,karminski-牙医,https://x.com/karminski3/status/1991136616312963096
Chinese Twitter KOL leaderboard landing page,Web Development,draft,language-zh;raycast-friendly;web-development;animation;ui-design,"As a frontend engineer with a strong sense of aesthetics, create a website landing page for ""{argument name=""leaderboard_name_en"" default=""Chinese Twitter KOL Leaderboard""}"". The design should be highly polished, with a minimal color palette, dark mode, and high contrast. Fetch the data source from the web.
Use Tailwind CSS + HTML5, add animations, and output only the HTML code directly.",,https://cms-assets.youmind.com/media/1764209256210_9yuf3c_nSwhmffYWeL8BVnG.jpg,katon,https://x.com/hellokaton/status/1991044658638840304
English picture book learning web app,Web Application,draft,language-zh;raycast-friendly,"Create a picture book for learning {argument name=""learning_subject"" default=""English""}.",,https://cms-assets.youmind.com/media/1764209248163_oeazqe_wznIvkBORVz7dPEt.jpg,松果先森,https://x.com/songguoxiansen/status/1991039234632003693
Douyin recommendation algorithm demo animation,Animation,draft,language-zh;raycast-friendly;animation,"Create a demo animation of the recommendation algorithm for {argument name=""platform_name_en"" default=""Douyin""}.",,https://cms-assets.youmind.com/media/1764209245189_xk7l00_GCkbyVRynHwDSc_u.jpg,松果先森,https://x.com/songguoxiansen/status/1991030405198458940
Multi-level gear linkage system animation,Animation,draft,language-zh;animation,A multi-level gear linkage system where rotating the main gear causes all gears to automatically move in proportion.,,https://cms-assets.youmind.com/media/1764209182169_3uxnqx_S4oQ9lQndCTR9dpO.jpg,余温,https://x.com/gkxspace/status/1990963691433701755
Parallax scrolling homepage with explosive visual effects,Web Development,draft,language-en;web-development;animation,"Create a parallax scrolling website with explosive visual effects: layered backgrounds that move at different speeds when scrolling, smooth transitions, and interactive elements that pop up with animations.",,https://cms-assets.youmind.com/media/1764209251231_c47kvt_f7sUEhYX0T-TA08T.jpg,木子不写代码,https://x.com/ai_muzi/status/1990905917735317857
High-end Swiss-style landing page generator in React,Web Development,draft,language-en;raycast-friendly;web-development;ui-design;react,"{argument name=""generator_name_en"" default=""High-End LP Generator (Swiss Style)""}

Based on the later-provided {argument name=""input_text_en"" default=""Input Text""}, strictly follow the following specifications and implement a top-quality landing page in React (single file).

1. Design concept: {argument name=""design_concept_en"" default=""Swiss Modern & Bento""}

Style: {argument name=""style_en"" default=""Apple/Linear-like Swiss modern style""}, removing decoration and using whitespace and typography to create appeal.",,https://cms-assets.youmind.com/media/1764209183164_ff2fxj_G6EeVp4bMAE1rkh.jpg,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信⚡️》,https://x.com/masahirochaen/status/1990905875104739689
Glassmorphism neon interface UI,UI/UX Design,draft,language-zh;ui-design,A glassmorphism neon interface with ultra-modern UI lighting effects and semi-transparent glass panels.,,https://cms-assets.youmind.com/media/1764209235569_ubbhh8_hniRordigEgw3eLQ.jpg,余温,https://x.com/gkxspace/status/1990890398005219692
Interactive SVG demo of Tesla FSD road recognition,Graphics,draft,language-zh;svg,"Use SVG to draw a dynamic, interactive demonstration of how Tesla FSD recognizes roads.",,https://cms-assets.youmind.com/media/1764209230976_s1ev99_jNGZl2r_QttuS_eV.jpg,余温,https://x.com/gkxspace/status/1990845658706612581
Rebuild GitHub’s React project page UI,UI/UX Design,draft,language-en;raycast-friendly;ui-design;react,"Build the GitHub page of {argument name=""project_name_en"" default=""React""}.",,https://cms-assets.youmind.com/media/1764209164010_kfcr6v_UVP2rlimdiU6iAGm.jpg,Samro ✨,https://x.com/jacobsamro/status/1990844468996813279
Three.js museum walkthrough scene,3D Graphics,draft,language-en;3d;game,"Create a scene in three.js.
It will be a museum with paintings on the walls, and you can walk around the museum hall like in a game.
Make the walls and floor white.
There will be glass on the ceiling with the sky visible behind it.
Also place white blocks in the middle of the hall.",,https://cms-assets.youmind.com/media/1764209190782_xuvxaf_lG3hvJgHdeeMM0Il.jpg,Sabo Sugi ✦,https://x.com/sabosugi/status/1990840115984294112
Voxel art threejs scene generation prompt from image,3D Graphics,draft,language-en;3d,I have provided an image. Code a beautiful voxel art scene inspired by this image. Write threejs code as a single-page,,https://cms-assets.youmind.com/media/1764209269076_pv0z04_ViPc6k-OigB0DvZy.jpg,Ian Goodfellow,https://x.com/goodfellow_ian/status/1990839056331337797
3D Rubik’s cube web app with mix and solve controls,3D Graphics,draft,language-en;raycast-friendly;3d;ui-design,"Build a 3D {argument name=""puzzle_type_en"" default=""Rubik's cube""}, include a button to mix it that shuffles the cube, and a button that solves the puzzle. Also allow the user to manually manipulate and solve it themselves.",,https://cms-assets.youmind.com/media/1764209166801_28oo2s_Yw11-5ANo4d3iKMe.jpg,Alan Shiflett,https://x.com/AlanShiflett/status/1990834197414785280
CapCut-like video editor UI in Gemini,UI/UX Design,draft,language-en;raycast-friendly;ui-design,"Design a {argument name=""app_name_en"" default=""CapCut""}.",,https://cms-assets.youmind.com/media/1764209226668_w793aq_M4xeFftoGPdIXQ73.jpg,padphone,https://x.com/lepadphone/status/1990834118511505486
Single-file HTML billiards game,Game Development,draft,language-zh;raycast-friendly;game,"Please create a fully functional {argument name=""game_type_en"" default=""billiards game""} in a single HTML file.",,https://cms-assets.youmind.com/media/1764209229502_z8h43e_Sfw2XxjctaA-jcVN.jpg,余温,https://x.com/gkxspace/status/1990822470308221043
Quantum core monitoring single-page HTML,Graphics,draft,language-zh;raycast-friendly;svg,"Please generate a single-page HTML (SVG) for a “{argument name=""system_name_en"" default=""Quantum Core Monitoring System""}”.",,https://cms-assets.youmind.com/media/1764209232746_9r9qr8_6ATKtxR2C-Z_bgH4.jpg,余温,https://x.com/gkxspace/status/1990818141610324361
Dynamic point cloud special relativity webpage,Web Development,draft,language-zh,Write a dynamic webpage that uses a cool point-cloud style to explain special relativity.,,https://cms-assets.youmind.com/media/1764209260950_8uv2vi_xRfGc1qs6KNG9LQh.jpg,-Zho-,https://x.com/ZHO_ZHO_ZHO/status/1990812808112419198
Single-file SVG of an Xbox controller,Graphics,draft,language-en;raycast-friendly;svg,"Create an SVG of an {argument name=""controller_type_en"" default=""Xbox controller""}.",,https://cms-assets.youmind.com/media/1764209158979_4xcpbe_G6CeUfEX0AApWPC.jpg,Singularity,https://x.com/SingulCore/status/1990765115785031961
Neobrutalist webpage generation prompt,Web Development,draft,language-en;raycast-friendly;animation,"Make a neobrutalist webpage, make it extremely creative and push the limits as far as possible. Add smooth scroll animations, fancy colors, and Tailwind CSS styles. Make it fully responsive. The title of the page is {argument name=""page_title"" default=""dorksense""}.",,https://cms-assets.youmind.com/media/1764209270654_9o0of1_5Grq3MMeGuW79EHM.jpg,Dorksense,https://x.com/Dork_sense/status/1988965641890787793
New York skyline SVG single-HTML scene,3D Graphics,draft,language-en;raycast-friendly;svg,"SVG of the {argument name=""city_skyline_en"" default=""New York skyline""}. Use whatever libraries are needed to get this done, but make sure I can paste everything into a single HTML file and open it in Chrome. Make it interesting and highly detailed, showing unexpected details. Go fully creative and fully beautiful in one code block.",,https://cms-assets.youmind.com/media/1764209201317_tgxusr_G3Yz3dKWkAAp-iS.jpg,Chetaslua,https://x.com/chetaslua/status/1978826911900946793
