title,category,status,tags,prompt,negative_prompt,preview_image,attribution,attribution_link
Structured Photorealistic Chihuahua on Balcony (Duplicate),Photography,draft,language-en;photography;poster,"A photorealistic daytime balcony scene: a small long-haired chihuahua with warm golden-brown/tan fur and lighter cream highlights lies relaxed on a large rectangular lounge cushion (light beige/cream top with gray sides and piped seams). The dog faces slightly left, head raised, calm expression with slightly squinting dark eyes, upright feathery ears, small black nose, and a subtly grayer muzzle; front paws forward with lighter fur on the toes. Strong natural sunlight from the left creates bright highlights on the fur and soft shadows across the cushion. Behind the dog is a glass balcony railing, a white vertical pillar centered in the background, and a soft, defocused view of a blue bay/harbor with a tree-lined shoreline, several large white cruise ships, port cranes in the distance, and a hazy city skyline of high-rise buildings on the right. Shallow depth of field, crisp focus on the",,https://cms-assets.youmind.com/media/1766388934170_s22fgi_G8oa8bxWMAAFKQ7.jpg,Sura Baghirova,https://x.com/surasb11/status/2002442613660463238
Structured Photorealistic Chihuahua on Balcony,Photography,draft,language-en;photography;poster,"A photorealistic daytime balcony scene: a small long-haired chihuahua with warm golden-brown/tan fur and lighter cream highlights lies relaxed on a large rectangular lounge cushion (light beige/cream top with gray sides and piped seams). The dog faces slightly left, head raised, calm expression with slightly squinting dark eyes, upright feathery ears, small black nose, and a subtly grayer muzzle; front paws forward with lighter fur on the toes. Strong natural sunlight from the left creates bright highlights on the fur and soft shadows across the cushion. Behind the dog is a glass balcony railing, a white vertical pillar centered in the background, and a soft, defocused view of a blue bay/harbor with a tree-lined shoreline, several large white cruise ships, port cranes in the distance, and a hazy city skyline of high-rise buildings on the right. Shallow depth of field, crisp focus on the dog, background",,https://cms-assets.youmind.com/media/1766388933663_9y4vrf_G8oDylCW4AArZt-.jpg,Sura Baghirova,https://x.com/surasb11/status/2002417155225141446
Surreal Diorama from 'Brave New World',Photography,draft,language-en;raycast-friendly;photography,"Surreal diorama emerging from an open vintage book of ""{argument name=""book title"" default=""Brave New World""}"" by {argument name=""author"" default=""Aldous Huxley""}: the pages form a futuristic hatching laboratory with rows of glowing test tubes containing embryonic figures on conveyor belts, lab-coated workers in white uniforms operating machines, a large all-seeing eye symbol on the wall, conveyor belts moving via hidden mechanisms, cool blue neon lighting, hyper-detailed miniature sculpture, clinical and eerie atmosphere, photorealistic.",,https://cms-assets.youmind.com/media/1766388930019_hpq6oi_G8aEemJXIAEIQMS.jpg,Gadgetify,https://x.com/Gdgtify/status/2002399592906993959
Cinematic Winter Fashion Portrait on a Mountain Peak,Photography,draft,language-en;raycast-friendly;photography;poster;portrait;cinematic;fashion,"A cinematic winter fashion portrait of a stylish young woman sitting on a snow-covered mountain peak, surrounded by vast alpine ranges under a soft golden-hour sky. She wears a {argument name=""jacket color"" default=""pastel pink""} puffer jacket layered over a heart-patterned fleece, embroidered dark denim jeans with a bold tiger motif, retro yellow-tinted sunglasses, brown leather gloves, and colorful sneakers. A playful yellow beanie with a graphic face adds a pop-art vibe. Beside her sits a vintage pink portable cassette player on the snow, adding nostalgic charm. Relaxed confident pose, looking into the distance, wind gently moving her hair. Google Gemini Ultra-realistic, crisp details, editorial fashion photography, natural cold tones balanced with warm sunlight, shallow depth of field, cinematic composition, high resolution, lifestyle-meets-adventure aesthetic.",,https://cms-assets.youmind.com/media/1766388927467_ud9jd4_G8ns3eZa8AAFH3J.jpg,Smiling Khan,https://x.com/AIwithkhan/status/2002391950658580520
Philosophical AI Reflection Painting Prompt,Image Generation,draft,language-ja,"In a philosophical sense, the output of AI is a mirror image of human input. Draw a painting that visualizes this sentence.",,https://cms-assets.youmind.com/media/1766388939192_lyls0i_G8nqTM0awAA0MpZ.jpg,石の裏に潜む黒いヤツ,https://x.com/dangomushino/status/2002389299401277840
Complex Four-Quadrant Paper World Composite Prompt,Poster Design,draft,language-en;poster;3d,"A seamless 16:9 full-frame composite image divided into four distinct quadrants. **CRITICAL:** The four sections touch each other directly. NO GREY BACKGROUND. NO BORDERS. NO GAPS. The image is filled edge-to-edge with paper details.

**Composition:** A split-screen view looking deep into four different paper worlds.

1) **Top-Left (Luckin):** A wide view of a magical paper forest. Blue and white paper clouds and coffee leaves fill the quadrant completely. A white paper stag leaps through the density.
2) **Top-Right (Google):** A wide view of a **""Topographic Map"" style paper cavern**. The ""G"" logo is formed by **hundreds of thin sheets** of Blue, Red, Yellow, and Green paper stacked horizontally. It looks like a sediment canyon or a contour map. Visible paper fibers and sharp cut edges. NO plastic smoothness.
3) **Bottom-Left (Coke):** A wide view of a red paper explosion. The Coke bottle is a **Negative Space Silhouette**—a deep hole void cut through dense layers of red paper. White paper ribbons span across the void.
4) **Bottom-Right (McDonald's):** A wide view of a yellow paper city. Vertical strips of yellow paper (french fries) stand densely packing the frame. The Golden Arches rise from deep within the layers.

**Global Material:** Everything is matte cardstock.
**Lighting:** Soft, even studio lighting revealing the depth of the paper cuts.
**Tech:** Octane render, 8k, --ar 16:9 --stylize 400 --no borders, frames, background wall, isolated objects, 3d plastic, seamless texture",,https://cms-assets.youmind.com/media/1766388936642_5v3x64_G8mrrT_bMAYf-5t.jpg,两斤,https://x.com/0x00_Krypt/status/2002320422046724291
Seasonal Grim Reaper in a Roman City,Cinematic,draft,language-en;raycast-friendly;cinematic,"a hooded grim reaper with a {argument name=""hat type"" default=""Santa hat""} on the hood and with glowing blue digital hand armor, holding up an illuminated chain of numbers in the air, against an ancient roman city background, in a cinematic, hyper-realistic style",,https://cms-assets.youmind.com/media/1766388940357_86p9q3_G8mdS1FXEAAuOdG.jpg,Teser Dawn,https://x.com/TeserDawn/status/2002304821500719113
Hyperrealistic Dark Fantasy Mage Portrait,Photography,draft,language-en;poster;portrait;cinematic,"Hyperrealistic dark fantasy portrait of a mysterious hooded mage standing in snowfall,same person (keep original face exactly same), cold blue ambient lighting, intricate shadow details on face, glowing magical orb held carefully between his fingers, soft golden light illuminating his hands, ancient runic tattoos across his face, subtle scars, intense focused eyes, dramatic wet hood texture with snowflakes resting on the fabric, highly detailed dark leather armor with engraved patterns and woven cords, cinematic depth of field, moody atmospheric fog, drifting snow particles, ultra-detailed textures, realistic skin shading, dark mystical background, 8k resolution, fantasy concept art, weta digital style, volumetric lighting, ethereal magical glow effects, emotionally intense and mysterious expression",,https://cms-assets.youmind.com/media/1766388931580_7pikfh_G8mHwwybMAIuG-c.jpg,Harboriis,https://x.com/harboriis/status/2002280797315989960
Historical Event Image Generation: Sam Altman Launching YC Research and Continuity,Image Generation,draft,language-en;raycast-friendly,"Show {argument name=""person name"" default=""Sam Altman""} in {argument name=""year"" default=""2015""} launching {argument name=""event 1"" default=""YC Research""} and {argument name=""event 2"" default=""YC Continuity""}.",,https://cms-assets.youmind.com/media/1766388925108_gkaovg_G8lmB-JbMAAUNQW.jpg,DΞV,https://x.com/junwatu/status/2002260928813797600
MLK 'I Have a Dream' Speech Scene,Image Generation,draft,language-en,"1963 MLK 'I Have a Dream' speech, massive crowd, Lincoln Memorial in background.",,https://cms-assets.youmind.com/media/1766388935453_0pnot3_G8lh312bMAEqidn.jpg,DΞV,https://x.com/junwatu/status/2002256902227394866
Virtual Try-On/Concept Generation,Fashion,draft,language-en,Dress the person from the image on the left in the clothes from the reference images on the top,,https://cms-assets.youmind.com/media/1766388931149_nptt55_G8kW5snbMAE8DtP.jpg,DΞV,https://x.com/junwatu/status/2002197265763729879
Photorealistic Fashion Editorial Portrait,Photography,draft,language-en;photography;poster;portrait;fashion,"Photorealistic fashion editorial portrait of a young woman in her early 20s with warm medium tan skin tone and flawless complexion, voluminous long curly dark brown hair with tight ringlets and frizzy texture cascading wildly over her shoulders and down her back, oval face with soft features, almond-shaped hazel eyes gazing sideways with a contemplative serene expression, arched eyebrows, straight narrow nose, full natural lips in nude matte finish, high cheekbones and delicate jawline, standing in a three-quarter profile facing left with head turned slightly toward the camera, wearing an oversized shimmering white sequined jacket covered in large circular silver paillettes that reflect light dramatically, fringed hem at the bottom, layered over light blue high-waisted denim jeans, carrying a luxurious cream-colored leather Gucci shoulder bag with interlocking GG logo in gold hardware and detachable gold chain strap draped diagonally across her torso, slim athletic hourglass figure with estimated proportions 34-25-37 inches, small C-cup breasts subtly contoured under the jacket, overall height around 5'9\",,https://cms-assets.youmind.com/media/1766388938203_al5mb9_G8k2shvWoAAZq6q.jpg,Sienna,https://x.com/siennalovesai/status/2002192027732136013
Structured Selfie Portrait Prompt,Photography,draft,language-en;raycast-friendly;poster;portrait;selfie,"{
  ""scene"": {
    ""type"": ""bedroom_interior"",
    ""lighting"": ""natural_daylight"",
    ""atmosphere"": ""casual, cozy, domestic""
  },
  ""subject"": {
    ""pose"": {
      ""position"": ""lying_prone_on_bed"",
      ""orientation"": ""facing_camera"",
      ""legs"": ""knees_bent_upwards, ankles_crossed"",
      ""arms"": ""left_arm_extended_for_selfie"",
      ""head"": ""resting_on_pillow""
    },
    ""appearance"": {
      ""hair"": ""long, straight, {argument name=""hair color"" default=""pink""}"",
      ""expression"": ""gentle_smile, direct_eye_contact"",
      ""complexion"": ""fair, rosy_cheeks""
    },
    ""attire"": {
      ""top"": {
        ""item"": ""tank_top"",
        ""color"": ""light_green"",
        ""texture"": ""ribbed"",
        ""style"": ""spaghetti_straps""
      },
      ""bottom"": {
        ""item"": ""gym shorts"",
        ""color"": ""light_green"",
        ""details"": ""ruffled_hem, scrunched_texture""
      },
      ""accessories"": {
        ""feet"": ""white_crew_socks""
      }
    }
  },
  ""environment"": {
    ""bedding"": {
      ""sheets"": ""white, rumpled"",
      ""pillows"": ""white_with_floral_pattern"",
      ""duvet"": ""white, puffy""
    },
    ""background_elements"": {
      ""windows"": {
        ""quantity"": 2,
        ""features"": ""white_frames, horizontal_blinds""
      },
      ""furniture"": {
        ""side_furniture"": {
        ""side_table"": {
          ""location"": ""left_side"",
          ""visible_items"": [
            ""skincare_products"",
            ""pink_mug"",
            ""small_potted_plant"",
            ""tissues""
          ]
        }
      }
    }
  },
  ""composition"": {
    ""angle"": ""high_angle_selfie"",
    ""framing"": ""medium_shot"",
    ""focus"": ""sharp_subject, soft_background""
  }
}",,https://cms-assets.youmind.com/media/1766231588498_yz5g8o_G8j-xEsWQAAg-IT.jpg,KeorUnreal,https://x.com/KeorUnreal/status/2002130160653386113
Raw Realistic Amateur Photography Style,Photography,draft,language-en;raycast-friendly;photography;illustration;poster;fashion,"1:1 aspect ratio

Raw Realistic candid natural amateur photo, background in focus, amateur candid photography, Captured on {argument name=""camera model"" default=""Samsung Galaxy S21 Ultra""}, amateur candid smartphone photography, 24mm lens, f/8, Boring reality, natural soft shadows, candid snapshot, flat natural lighting, Realism, low contrast, disposable camera vibe, casual photography, background also completely in focus, Tiny imperfections, everyday aesthetic, slight JPEG artifacts, unpolished look, unedited, imperfect amateur photo

only create real, non fictional images for max effect",,https://cms-assets.youmind.com/media/1766231584837_1bsplk_G8j2eJxXQAAQ1sY.jpg,Bearly AI,https://x.com/bearlyai/status/2002121042631012802
Multiple Image Edits and Text Replacement,Poster Design,draft,language-en;poster,"Replace the text ""Internet"" with ""GPT-IMAGE-1.5"". Replace the Japanese sub header with ""Now Available on Comfy Cloud"" in Japanese text. Do not interpret the words 'Comfy Cloud', this is the name of a product. Replace the ""'83"" with ""'25"". Replace the screen with a node based interface. The boy is facing the viewer with a thumbs up.",,https://cms-assets.youmind.com/media/1766231577666_gcsnd3_G8jlrnUbMAQwRfJ.jpg,ComfyUI,https://x.com/ComfyUI/status/2002102578205863987
Festive Wallpaper Prompt,Image Generation,draft,language-en,"The bright, vibrant colors create a festive, celebratory mood 🎅",,https://cms-assets.youmind.com/media/1766231589093_faay77_G8jbKWyXIAAf1mT.jpg,Viki,https://x.com/churvikv/status/2002093738122965442
GPT Image 1.5 Style Description for 90s Film Aesthetic,Poster Design,draft,language-ja;poster;cinematic,"While maintaining the decadent mood and texture characteristic of 90s films,
reconstruct only the figures to be realistic.",,https://cms-assets.youmind.com/media/1766231586172_klag99_G8jGOqpaAAAVTM6.jpg,ふうこい,https://x.com/koishita_dan/status/2002067995250864304
Character Visual Update while Preserving Original Atmosphere,Cartoon,draft,language-ja,Change the character to a “more realistic visual” while keeping the atmosphere of the original work intact.,,https://cms-assets.youmind.com/media/1766231603946_fjhila_G8jCFumbMAU98mt.jpg,ふうこい,https://x.com/koishita_dan/status/2002063444032512222
Black and White Fine Art Portrait with Selective Color,Photography,draft,language-en;raycast-friendly;photography;poster;portrait;cinematic;fashion,"A dramatic black-and-white fine art portrait of the person in the uploaded picture (preserve face 100%), captured in a close-up, three-quarter profile. Soft directional lighting sculpts the face and upper body, creating deep shadows and a cinematic chiaroscuro effect.

The subject wears a simple unbranded T-shirt in a randomly chosen solid color: [{argument name=""T-shirt color"" default=""red/ yellow/ black/ white/ teal/ maroon""}].
Only the T-shirt color is visible — all other elements remain strictly monochromatic black-and-white. Natural fabric folds are clearly visible, with realistic texture and contrast.

The subject’s expression is [{argument name=""emotion"" default=""calm / introspective / confident / serene / melancholic""}], with relaxed features and a gentle gaze directed [{argument name=""gaze direction"" default=""TOWARDS THE CAMERA / AWAY / DOWNWARD""}].

Skin texture appears natural and detailed, with smooth tonal transitions. Styling is minimal, emphasizing light, form, and emotion rather than fashion. A dark, unobtrusive background fades into black, creating a timeless studio portrait aesthetic.

High-contrast monochrome tones with selective color isolation on the T-shirt only, subtle film grain, shallow depth of field, classic fine-art photography style. Ultra-high resolution, professional studio quality, intimate, elegant, emotionally evocative.""",,https://cms-assets.youmind.com/media/1766231584465_8hx561_G8igvd3acAEikLs.jpg,Yellow Bird,https://x.com/YellowLove243/status/2002026774914568498
Cool Illustration of Ouroboros,Illustration,draft,language-ja;illustration,"Generate an image that coolly depicts an illustration of the Ouroboros, two snakes eating each other, symbolizing a closed system.",,https://cms-assets.youmind.com/media/1766231582278_m6q20m_G8iDpy8aAAAJ7eb.jpg,石の裏に潜む黒いヤツ,https://x.com/dangomushino/status/2001994877165588839
Aesthetic Hairstyle Comparison Grid,Photography,draft,language-en;raycast-friendly;poster;portrait,"description: ""A clean, aesthetic 3x3 collage portrait showcasing different men's hairstyles. The same young man is captured in each frame, positioned in consistent lighting and pose, creating a style comparison grid."",

  ""subject"": {
    ""type"": ""young man"",
    ""age"": ""early 20s"",
    ""skin_tone"": ""medium with smooth texture"",
    ""facial_features"": ""sharp jawline, well-groomed beard stubble, symmetrical face"",
    ""expression"": ""neutral and confident""
  },

  ""hairstyles"": [
    ""{argument name=""hairstyle 1"" default=""clean shaved buzz cut""}"",
    ""{argument name=""hairstyle 2"" default=""slicked back classic hairstyle""}"",
    ""{argument name=""hairstyle 3"" default=""medium wavy long hair""}"",
    ""{argument name=""hairstyle 4"" default=""short textured fringe""}"",
    ""{argument name=""hairstyle 5"" default=""voluminous messy hairstyle""}"",
    ""{argument name=""hairstyle 6"" default=""man bun""}"",
    ""{argument name=""hairstyle 7"" default=""cornrow braids""}"",
    ""{argument name=""hairstyle 8"" default=""side swept modern fade""}"",
    ""{argument name=""hairstyle 9"" default=""tight curly textured cut""}""
  ],

  ""environment"": {
    ""location"": ""outdoor courtyard with white architecture arches"",
    ""lighting"": ""soft sunset golden-hour lighting"",
    ""background"": ""slightly blurred but clean and minimal""
  },

  ""camera"": {
    ""shot"": ""shoulder-level portrait"",
    ""angle"": ""eye-level"",
    ""lens"": ""standard lens (50mm)"",
    ""composition"": ""consistent framing for all nine shots""
  },

  ""wardrobe"": {
    ""top"": ""plain fitted white t-shirt"",
    ""style"": ""minimal, clean, modern""
  },

  ""mood"": [
    ""stylish"",
    ""fresh"",
    ""groomed"",
    ""aesthetic""
  ]
}",,https://cms-assets.youmind.com/media/1766231593838_eidf4r_G8h8zv3agAA1BOi.jpg,Dr.duet,https://x.com/Sheldon056/status/2001987275119538341
Candid Cinematic Lifestyle Photograph of Father and Child,Photography,draft,language-en;photography;poster;cinematic,"A candid, cinematic lifestyle photograph of a tired father and his young child sitting together on a worn vintage couch in a dimly lit living room at night. The father recline casually, holding a TV remote toward the camera with one hand while drinking from a glass bottle with the other, relaxed yet exhausted. Beside him, the child sits quietly with a bowl of potato chips, wide-eyed and absorbed in whatever is playing on the television. Soft, moody tungsten lighting casts gentle shadows on the wall behind them, creating an intimate, realistic atmosphere. Shot from a low, front-facing angle with slight wide-angle distortion for a raw, documentary feel.",,https://cms-assets.youmind.com/media/1766231577629_m4ebx7_G8h7cgFagAAviYp.jpg,Smiling Khan,https://x.com/AIwithkhan/status/2001985767665807687
Harajuku Decora Pop Art Poster of Aniko,Photography,draft,language-ja;photography;poster;3d;fashion;design;cartoon,"【Request for Production: Character 'Kawaii' Remix】 Using the attached image of the character (Aniko) as a model, could you draw a highly dense and vibrant poster art where she has become a Harajuku fashion icon? 【Points to Infer】 Outfit Upgrade: Do not be constrained by the 'school uniform' element of the original image. Based on her hair color and eye color, devise a much flashier outfit, heavily accessorized, based on **'Harajuku Decora' and 'Y2K fashion'**. (Examples: layered colorful hoodies, frilled skirts, platform sneakers, excessive amounts of hairpins and plastic accessories, etc.) Space Direction: Please use an art style that fills in all 'empty space'. Scatter bursting candies, stars, hearts, ribbons, and comic-style effects like 'BAM!' and 'POP!' in the background to express a **'visually information-overloaded happiness'** like an overturned toy box. Composition and Pose: Use a defenseless, floating pose, as if released from gravity and floating in the air, or lying on a bed and photographed from above. A dynamic composition that uses ultra-wide-angle lens perspective to make hands, feet, and shoes appear large would be appreciated. Typography: Design the text **'ANIKO'** as a shiny, balloon-like 3D logo and place it prominently as the main element of the screen. 【Target Visual】 The violence of 'Kawaii'. Aim for a supremely high-tension pop art that is overflowing with color and feels like your brain is melting just by looking at it. 【Highest Priority】 My instructions are only references for direction; please prioritize the highest quality visual outcome and select or discard my information accordingly. --stylize 1400 --ar 16:9",,https://cms-assets.youmind.com/media/1766231609413_8k2390_G8h28ACbMAAoaKI.jpg,Toshi@ニャルオAI,https://x.com/Toshi_nyaruo_AI/status/2001981106497998980
3D Kawaii Seasonal Sticker Sheet,Poster Design,draft,language-en;raycast-friendly;poster;3d;fashion,"Create a 3D kawaii 2:3 canvas featuring nine chibi-style stickers dressed in seasonal and holiday-themed outfits including {argument name=""theme 1"" default=""Christmas""}, {argument name=""theme 2"" default=""Halloween""}, {argument name=""theme 3"" default=""summer beach""}, {argument name=""theme 4"" default=""winter cozy""}, {argument name=""theme 5"" default=""spring flowers""}, {argument name=""theme 6"" default=""autumn leaves""}, {argument name=""theme 7"" default=""birthday party""}, {argument name=""theme 8"" default=""graduation""}, and {argument name=""theme 9"" default=""New Year celebration""}. Use the attached image for reference. Each sticker has a white border with shadow effects and includes festive speech bubbles featuring phrases like ""{argument name=""phrase 1"" default=""Happy Holidays!""}"", ""{argument name=""phrase 2"" default=""Spooky!""}"", ""{argument name=""phrase 3"" default=""Beach vibes""}"", ""{argument name=""phrase 4"" default=""Cozy time""}"", ""{argument name=""phrase 5"" default=""Celebrate!""}"", and ""{argument name=""phrase 6"" default=""Yay us!""}"". Set on a soft gradient background transitioning from white to pastel rainbow tones for a festive, versatile vibe suitable for year-round WhatsApp sharing.",,https://cms-assets.youmind.com/media/1766231596985_c5mz7k_G8h1xfVbcAAuFPG.jpg,SaaS Junction || AI & SaaS Updates,https://x.com/SaasJunctionHQ/status/2001980596155998536
GPT-image 1.5 Test Prompt for a Detailed Scene,Poster Design,draft,language-ja;raycast-friendly;poster;cinematic;fashion,"A girl with {argument name=""hair color"" default=""long black hair""} and {argument name=""clothing"" default=""a white dress""} stands on the rooftop of a skyscraper in a futuristic city, looking up at the night sky. The city is illuminated by neon lights and holographic advertisements. The composition is a wide shot, with the girl positioned slightly off-center to the right. The lighting is dramatic, with strong shadows and highlights emphasizing the contrast between the girl and the vibrant city lights. The style is cinematic and highly detailed, reminiscent of {argument name=""art style"" default=""cyberpunk anime""}.",,https://cms-assets.youmind.com/media/1766231620956_kmlu23_G8h1wp8bgAAI7gX.jpg,eagle0wl（いーぐる） / km,https://x.com/eagle0wl/status/2001979939177029638
Image-to-Image Clothing Swap Prompt,Fashion,draft,language-en;fashion,Take the clothing from the reference and change mine to match it,,https://cms-assets.youmind.com/media/1766231606931_bzf4ls_G8hwdYNaEAAFllU.jpg,CHAO2U AI,https://x.com/CHAO2U_AI/status/2001978173693804599
Cinematic Storyboard Contact Sheet,Photography,draft,language-en;raycast-friendly;photography;poster;cinematic;3d,"A 3x3 grid storyboard contact sheet comprised of nine candid, cinematic movie stills showing a continuous sequence of a young man, approximately 20-25 years old. He has tousled brown hair and a youthful, expressive face, clean-shaven. Across all nine panels, he is consistently wearing a {argument name=""shirt color"" default=""brown""} short-sleeved linen button-down shirt and is seated at a wooden dining table during a family dinner. The panels show varied natural actions: gesturing with his hands while animatedly talking, laughing, eating {argument name=""food"" default=""lasagna""} from a large dish, listening intently, and smiling. The environment is a warm, cozy home dining room with a wooden hutch filled with china and patterned wallpaper visible in the background. The lighting is soft, warm tungsten evening light creating natural shadows. The shots are a mix of medium angles and close-ups with a shallow depth of field, rendered with a film photography aesthetic and slight grain.",,https://cms-assets.youmind.com/media/1766231596492_sfodre_G8hyEucbAAApZv6.jpg,Oogie,https://x.com/oggii_0/status/2001975468577403099
